family,group,ung_inf,otl_name,trans_route,in_tree,otl_name_red
Oligacanthorhynchidae,Acanthocephala,TRUE,Oligacanthorhynchidae,intermediate host eaten,TRUE,Oligacanthorhynchidae
Echinorhynchidae,Acanthocephala,FALSE,Echinorhynchidae,not ungulate parasites,TRUE,Echinorhynchidae
Apororhynchidae,Acanthocephala,FALSE,Apororhynchidae,not ungulate parasites,TRUE,Apororhynchidae
Giganthorhynchidae,Acanthocephala,FALSE,Giganthorhynchidae,not ungulate parasites,TRUE,Giganthorhynchidae
Moniliformidae,Acanthocephala,FALSE,Moniliformidae,not ungulate parasites,TRUE,Moniliformidae
Quadrigyridae,Acanthocephala,FALSE,Quadrigyridae,not ungulate parasites,TRUE,Quadrigyridae
Dendronucleatidae,Acanthocephala,FALSE,Dendronucleatidae,not ungulate parasites,TRUE,Dendronucleatidae
Neoechinorhynchidae,Acanthocephala,FALSE,Neoechinorhynchidae,not ungulate parasites,TRUE,Neoechinorhynchidae
Tenuisentidae,Acanthocephala,FALSE,Tenuisentidae,not ungulate parasites,TRUE,Tenuisentidae
Arhythmacanthidae,Acanthocephala,FALSE,Arhythmacanthidae,not ungulate parasites,TRUE,Arhythmacanthidae
Cavisomidae,Acanthocephala,FALSE,Cavisomidae,not ungulate parasites,TRUE,Cavisomidae
Diplosentidae,Acanthocephala,FALSE,Diplosentidae,not ungulate parasites,TRUE,Diplosentidae
Fessisentidae,Acanthocephala,FALSE,Fessisentidae,not ungulate parasites,TRUE,Fessisentidae
Gymnorhadinorhynchidae,Acanthocephala,FALSE,Gymnorhadinorhynchidae,not ungulate parasites,TRUE,Gymnorhadinorhynchidae
Heteracanthocephalidae,Acanthocephala,FALSE,Heteracanthocephalidae,not ungulate parasites,TRUE,Heteracanthocephalidae
Illiosentidae,Acanthocephala,FALSE,Illiosentidae,not ungulate parasites,TRUE,Illiosentidae
Isthmosacanthidae,Acanthocephala,FALSE,Isthmosacanthidae,not ungulate parasites,TRUE,Isthmosacanthidae
Pomphorhynchidae,Acanthocephala,FALSE,Pomphorhynchidae,not ungulate parasites,TRUE,Pomphorhynchidae
Rhadinorhynchidae,Acanthocephala,FALSE,Rhadinorhynchidae,not ungulate parasites,TRUE,Rhadinorhynchidae
Sauracanthorhynchidae,Acanthocephala,FALSE,Sauracanthorhynchidae,not ungulate parasites,TRUE,Sauracanthorhynchidae
Transvenidae,Acanthocephala,FALSE,Transvenidae,not ungulate parasites,TRUE,Transvenidae
Pyrirhynchidae,Acanthocephala,FALSE,Pyrirhynchidae,not ungulate parasites,TRUE,Pyrirhynchidae
Centrorhynchidae,Acanthocephala,FALSE,Centrorhynchidae,not ungulate parasites,TRUE,Centrorhynchidae
Plagiorhynchidae,Acanthocephala,FALSE,Plagiorhynchidae,not ungulate parasites,TRUE,Plagiorhynchidae
Polymorphidae,Acanthocephala,FALSE,Polymorphidae,not ungulate parasites,TRUE,Polymorphidae
Polyacanthorhynchidae,Acanthocephala,FALSE,Polyacanthorhynchidae,not ungulate parasites,TRUE,Polyacanthorhynchidae
Capillariidae,Nematoda,TRUE,Capillariidae,eggs ingested,TRUE,Capillariidae
Robertdollfusidae,Nematoda,TRUE,Robertdollfusidae,vector-transmission,TRUE,Robertdollfusidae
Trichinellidae,Nematoda,TRUE,Trichinellidae,intermediate host eaten,TRUE,Trichinellidae
Trichuridae,Nematoda,TRUE,Trichuridae,eggs ingested,TRUE,Trichuridae
Ancylostomatidae,Nematoda,TRUE,Ancylostomatidae,larvae seek/penetrate,TRUE,Ancylostomatidae
Ascarididae,Nematoda,TRUE,Ascarididae,eggs ingested,TRUE,Ascarididae
Toxocaridae,Nematoda,TRUE,Toxocaridae,eggs ingested,TRUE,Toxocaridae
Chabertiidae,Nematoda,TRUE,Chabertiidae,larvae on herbage,TRUE,Chabertiidae
Cooperiidae,Nematoda,TRUE,Cooperiidae,larvae on herbage,TRUE,Cooperiidae
Dictyocaulidae,Nematoda,TRUE,Dictyocaulidae,larvae on herbage,TRUE,Dictyocaulidae
Filariidae,Nematoda,TRUE,Filariidae,vector-transmission,TRUE,Filariidae
Gnathostomatidae,Nematoda,TRUE,Gnathostomatidae,intermediate host eaten,TRUE,Gnathostomatidae
Gongylonematidae,Nematoda,TRUE,Gongylonematidae,intermediate host eaten,TRUE,Gongylonematidae
Habronematidae,Nematoda,TRUE,Habronematidae,vector-transmission,TRUE,Habronematidae
Haemonchidae,Nematoda,TRUE,Haemonchidae,larvae on herbage,TRUE,Haemonchidae
Metastrongylidae,Nematoda,TRUE,Metastrongylidae,intermediate host eaten,TRUE,Metastrongylidae
Molineidae,Nematoda,TRUE,Molineidae,larvae on herbage,TRUE,Molineidae
Onchocercidae,Nematoda,TRUE,Onchocercidae,vector-transmission,TRUE,Onchocercidae
Oxyuridae,Nematoda,TRUE,Oxyuridae,eggs ingested,TRUE,Oxyuridae
Protostrongylidae,Nematoda,TRUE,Protostrongylidae,intermediate host eaten,TRUE,Protostrongylidae
Spirocercidae,Nematoda,TRUE,Spirocercidae,intermediate host eaten,TRUE,Spirocercidae
Strongylidae,Nematoda,TRUE,Strongylidae,larvae on herbage,TRUE,Strongylidae
