"family","group","ung_inf","in_tree"
"Oligacanthorhynchidae","Acanthocephala",TRUE,TRUE
"Echinorhynchidae","Acanthocephala",TRUE,TRUE
"Apororhynchidae","Acanthocephala",FALSE,TRUE
"Giganthorhynchidae","Acanthocephala",FALSE,TRUE
"Moniliformidae","Acanthocephala",FALSE,TRUE
"Quadrigyridae","Acanthocephala",FALSE,TRUE
"Dendronucleatidae","Acanthocephala",FALSE,TRUE
"Neoechinorhynchidae","Acanthocephala",FALSE,TRUE
"Tenuisentidae","Acanthocephala",FALSE,TRUE
"Arhythmacanthidae","Acanthocephala",FALSE,TRUE
"Cavisomidae","Acanthocephala",FALSE,TRUE
"Diplosentidae","Acanthocephala",FALSE,TRUE
"Fessisentidae","Acanthocephala",FALSE,TRUE
"Gymnorhadinorhynchidae","Acanthocephala",FALSE,TRUE
"Heteracanthocephalidae","Acanthocephala",FALSE,TRUE
"Illiosentidae","Acanthocephala",FALSE,TRUE
"Isthmosacanthidae","Acanthocephala",FALSE,TRUE
"Pomphorhynchidae","Acanthocephala",FALSE,TRUE
"Rhadinorhynchidae","Acanthocephala",FALSE,TRUE
"Sauracanthorhynchidae","Acanthocephala",FALSE,TRUE
"Transvenidae","Acanthocephala",FALSE,TRUE
"Pyrirhynchidae","Acanthocephala",FALSE,TRUE
"Centrorhynchidae","Acanthocephala",FALSE,TRUE
"Plagiorhynchidae","Acanthocephala",FALSE,TRUE
"Polymorphidae","Acanthocephala",FALSE,TRUE
"Polyacanthorhynchidae","Acanthocephala",FALSE,TRUE
"Capillariidae","Nematoda",TRUE,TRUE
"Robertdollfusidae","Nematoda",TRUE,TRUE
"Trichinellidae","Nematoda",TRUE,TRUE
"Trichuridae","Nematoda",TRUE,TRUE
"Ancylostomatidae","Nematoda",TRUE,FALSE
"Ascarididae","Nematoda",TRUE,FALSE
"Chabertiidae","Nematoda",TRUE,TRUE
"Cooperiidae","Nematoda",TRUE,TRUE
"Dictyocaulidae","Nematoda",TRUE,TRUE
"Filariidae","Nematoda",TRUE,TRUE
"Gnathostomatidae","Nematoda",TRUE,TRUE
"Gongylonematidae","Nematoda",TRUE,TRUE
"Habronematidae","Nematoda",TRUE,TRUE
"Haemonchidae","Nematoda",TRUE,TRUE
"Metastrongylidae","Nematoda",TRUE,TRUE
"Molineidae","Nematoda",TRUE,TRUE
"Onchocercidae","Nematoda",TRUE,TRUE
"Oxyuridae","Nematoda",TRUE,TRUE
"Protostrongylidae","Nematoda",TRUE,TRUE
"Spirocercidae","Nematoda",TRUE,TRUE
"Strongylidae","Nematoda",TRUE,TRUE
"Strongyloididae","Nematoda",TRUE,TRUE
"Syngamidae","Nematoda",TRUE,TRUE
"Thelaziidae","Nematoda",TRUE,TRUE
"Trichostrongylidae","Nematoda",TRUE,FALSE
"Aulolaimidae","Nematoda",FALSE,TRUE
"Axonolaimidae","Nematoda",FALSE,TRUE
"Bastianiidae","Nematoda",FALSE,TRUE
"Haliplectidae","Nematoda",FALSE,TRUE
"Isolaimiidae","Nematoda",FALSE,TRUE
"Leptolaimidae","Nematoda",FALSE,TRUE
"Plectidae","Nematoda",FALSE,FALSE
"Rhabdolaimidae","Nematoda",FALSE,TRUE
"Teratocephalidae","Nematoda",FALSE,TRUE
"Tripyloididae","Nematoda",FALSE,TRUE
"Ceramonematidae","Nematoda",FALSE,TRUE
"Choniolaimidae","Nematoda",FALSE,FALSE
"Chromadoridae","Nematoda",FALSE,TRUE
"Comesomatidae","Nematoda",FALSE,TRUE
"Cyatholaimidae","Nematoda",FALSE,TRUE
"Desmodoridae","Nematoda",FALSE,TRUE
"Draconematidae","Nematoda",FALSE,TRUE
"Epsilonematidae","Nematoda",FALSE,TRUE
"Microlaimidae","Nematoda",FALSE,TRUE
"Monoposthiidae","Nematoda",FALSE,TRUE
"Richtersiidae","Nematoda",FALSE,FALSE
"Selachinematidae","Nematoda",FALSE,TRUE
"Xennellidae","Nematoda",FALSE,TRUE
"Desmoscolecidae","Nematoda",FALSE,TRUE
"Actinolaimidae","Nematoda",FALSE,TRUE
"Alaimidae","Nematoda",FALSE,TRUE
"Anatonchidae","Nematoda",FALSE,TRUE
"Aporcelaimidae","Nematoda",FALSE,TRUE
"Belondiridae","Nematoda",FALSE,TRUE
"Campgdoridae","Nematoda",FALSE,FALSE
"Carcharolaimidae","Nematoda",FALSE,FALSE
"Cobbonchidae","Nematoda",FALSE,FALSE
"Diphterophoridae","Nematoda",FALSE,TRUE
"Dorylaimidae","Nematoda",FALSE,TRUE
"Falcihastidae","Nematoda",FALSE,TRUE
"Iotonchusidae","Nematoda",FALSE,FALSE
"Leptonchidae","Nematoda",FALSE,TRUE
