"binomial","genus","length","body.mass","db"
"Abacetus aeneus ","Abacetus",2,NA,"carabid"
"Abacetus antoinei","Abacetus",6,NA,"carabid"
"Abacetus quadripustulatus","Abacetus",5,NA,"carabid"
"Abacetus salzmanni","Abacetus",5.5,NA,"carabid"
"Abatus cavernosus","Abatus",45,NA,"brose"
"Abatus curvidens","Abatus",36,NA,"brose"
"Abatus nimrodi","Abatus",50,NA,"brose"
"Abatus shackletoni","Abatus",40,NA,"brose"
"Abax","Abax",NA,0.2414,"ehnes"
"Abax arerae","Abax",15,NA,"carabid"
"Abax ater","Abax",NA,0.24469,"irlich"
"Abax baenningeri","Abax",14.5,NA,"carabid"
"Abax beckenhauptii","Abax",15.5,NA,"carabid"
"Abax carinatus","Abax",15.5,NA,"carabid"
"Abax continuus ","Abax",16.5,NA,"carabid"
"Abax ecchelii","Abax",15.5,NA,"carabid"
"Abax exaratus ","Abax",14.5,NA,"carabid"
"Abax fiorii","Abax",19.5,NA,"carabid"
"Abax oblongus ","Abax",15,NA,"carabid"
"Abax ovalis","Abax",13,NA,"carabid"
"Abax ovalis","Abax",NA,0.1955,"ehnes"
"Abax paralellepipedus","Abax",NA,0.267048163265306,"ehnes"
"Abax parallelepipedus","Abax",19,NA,"carabid"
"Abax parallelus","Abax",15.5,NA,"carabid"
"Abax parellelopipedus","Abax",18.5,NA,"brose"
"Abax pyrenaeus ","Abax",18,NA,"carabid"
"Abax schueppeli","Abax",21.5,NA,"carabid"
"Abax sexualis","Abax",18,NA,"carabid"
"Abax springeri","Abax",13.5,NA,"carabid"
"Abax teriolensis","Abax",13,NA,"carabid"
"Abditomys latidens","Abditomys",224,268.09,"Pantheria"
"Abeomelomys sevia","Abeomelomys",127.29,54.88,"Pantheria"
"Ablabesmyia sp.","Ablabesmyia",4.15,6.0596942e-05,"lw.misc"
"Ablepharus kitaibelii","Ablepharus",32.65,0.6,"jzo"
"Abramis ballerus","Ballerus",200,119.171298462837,"fishbase"
"Abramis bjoerkna","Blicca",200,176.989789826365,"fishbase"
"Abramis brama","Abramis",NA,3305.5,"anAge"
"Abramis brama","Abramis",250,322.220476700168,"fishbase"
"Abramis sapa","Ballerus",150,72.1116125061959,"fishbase"
"Abrawayaomys ruschii","Abrawayaomys",NA,62.99,"Pantheria"
"Abrocoma bennettii","Abrocoma",NA,265.5,"anAge"
"Abrocoma bennettii","Abrocoma",NA,250.5,"Pantheria"
"Abrocoma boliviensis","Abrocoma",NA,158,"Pantheria"
"Abrocoma cinerea","Abrocoma",NA,193.64,"Pantheria"
"Abrothrix andinus","Abrothrix",NA,24.91,"Pantheria"
"Abrothrix illuteus","Abrothrix",NA,47.79,"Pantheria"
"Abrothrix jelskii","Abrothrix",NA,34.5,"Pantheria"
"Abrothrix lanosus","Abrothrix",NA,27.83,"Pantheria"
"Abrothrix longipilis","Abrothrix",NA,38.86,"Pantheria"
"Abrothrix olivaceus","Abrothrix",96.69,24.52,"Pantheria"
"Abrothrix sanborni","Abrothrix",NA,24.7,"Pantheria"
"Abyssocucumis liouvillei","Abyssocucumis",60,NA,"brose"
"Abyssorchomene nodimanus","Abyssorchomene",20,NA,"brose"
"Abyssorchomene plebs","Abyssorchomene",25,NA,"brose"
"Abyssorchomene rossi","Abyssorchomene",40,NA,"brose"
"Acanthagenys rufogularis","Acanthagenys",NA,44.25,"avian"
"Acanthinula aculeata","Acanthinula",NA,0.000433,"brose"
"Acanthisitta chloris","Acanthisitta",NA,6.3,"avian"
"Acanthisitta chloris","Acanthisitta",NA,6.918309709,"sibly"
"Acanthiza chrysorrhoa","Acanthiza",NA,9.6,"avian"
"Acanthiza ewingii","Acanthiza",NA,6.95,"avian"
"Acanthiza inornata","Acanthiza",NA,7.05,"avian"
"Acanthiza iredalei","Acanthiza",NA,5.75,"avian"
"Acanthiza katherina","Acanthiza",NA,6.75,"avian"
"Acanthiza lineata","Acanthiza",NA,7.5,"avian"
"Acanthiza nana","Acanthiza",NA,6.4,"avian"
"Acanthiza pusilla","Acanthiza",NA,6.95,"avian"
"Acanthiza pusilla apicalis","Acanthiza",NA,7,"avian"
"Acanthiza reguloides","Acanthiza",NA,7.55,"avian"
"Acanthiza robustirostris","Acanthiza",NA,6.05,"avian"
"Acanthiza uropygialis","Acanthiza",NA,6.35,"avian"
"Acanthocercus atricollis","Acanthocercus",145,121.5,"jzo"
"Acanthocercus cyanogaster","Acanthocercus",107,39,"jzo"
"Acanthocercus phillipsii","Acanthocercus",67,8.6,"jzo"
"Acanthocyclops vernalis","Acanthocyclops",1.25,NA,"brose"
"Acanthodactylus beershebensis","Acanthodactylus",90,19,"jzo"
"Acanthodactylus boskianus","Acanthodactylus",60.46,8.3,"jzo"
"Acanthodactylus erythrurus","Acanthodactylus",65.6592857142857,NA,"grimm"
"Acanthodactylus erythrurus","Acanthodactylus",70.49,8.7,"jzo"
"Acanthodactylus maculatus","Acanthodactylus",62,7.5,"jzo"
"Acanthodactylus opheodurus","Acanthodactylus",62,4,"jzo"
"Acanthodactylus pardalis","Acanthodactylus",59.4,7.4,"jzo"
"Acanthodactylus schmidti","Acanthodactylus",90.2,14.5,"jzo"
"Acanthodactylus schreiberi","Acanthodactylus",80,28,"jzo"
"Acanthodactylus scutellatus","Acanthodactylus",85,12,"jzo"
"Acanthoderes circumflexa","Acanthoderes",NA,0.139,"ehnes"
"Acanthodiaptomus pacificus","Acanthodiaptomus",0.865,1.094555013e-05,"lw.misc"
"Acanthopagrus australis","Acanthopagrus",NA,2475,"anAge"
"Acanthopagrus berda","Acanthopagrus",244.5,647,"brose"
"Acanthopagrus butcheri","Acanthopagrus",NA,2200,"anAge"
"Acanthophis antarcticus","Acanthophis",567,252,"snakes"
"Acanthophis pyrrhus","Acanthophis",585,148,"snakes"
"Acanthophorus confinis","Acanthophorus",NA,3.49,"ehnes"
"Acanthorhynchus superciliosus","Acanthorhynchus",NA,9.75,"avian"
"Acanthorhynchus tenuirostris","Acanthorhynchus",NA,9.8,"avian"
"Acanthornis magnus","Acanthornis",NA,10.2,"avian"
"Acari phyto","Acari",NA,1.01923076923077e-05,"brose"
"Acari pred","Acari",NA,1.01779661016949e-05,"brose"
"Acari Sp. 1","Acari",1.5,NA,"brose"
"Acari Sp. 2","Acari",1.833333,NA,"brose"
"Acartia clausi","Acartia",0.353,NA,"brose"
"Acartia clausi","Acartia",0.625,2.725165317e-06,"lw.misc"
"Acartia erythraea","Acartia",1.109,1.15e-05,"lw.misc"
"Acartia erythraea","Acartia",0.903,7.68e-06,"lw.misc"
"Acartia pacifica","Acartia",0.912,8.28e-06,"lw.misc"
"Acartia tonsa","Acartia",0.097,NA,"brose"
"Acartia tsuensis","Acartia",0.6,1.601601949e-06,"lw.misc"
"Accanthopus reitteri","Accanthopus",8,NA,"teneb"
"Accanthopus velikensis","Accanthopus",11,NA,"teneb"
"Accipiter badius","Accipiter",NA,123,"avian"
"Accipiter badius","Accipiter",NA,131.2199899,"sibly"
"Accipiter brevipes","Accipiter",NA,186.6379691,"sibly"
"Accipiter castanilius","Accipiter",NA,159.25,"avian"
"Accipiter cirrocephalus","Accipiter",NA,180,"avian"
"Accipiter cooperii","Accipiter",NA,526.64,"anAge"
"Accipiter cooperii","Accipiter",NA,121.5,"avian"
"Accipiter cooperii","Accipiter",NA,429.5364268,"sibly"
"Accipiter fasciatus","Accipiter",NA,439.5,"avian"
"Accipiter gentilis","Accipiter",NA,1044.2,"anAge"
"Accipiter gentilis","Accipiter",NA,926,"avian"
"Accipiter gentilis","Accipiter",NA,866.9618758,"sibly"
"Accipiter melanoleucus","Accipiter",NA,704.766666666667,"avian"
"Accipiter melanoleucus","Accipiter",NA,698.2324041,"sibly"
"Accipiter minullus","Accipiter",NA,80.9,"avian"
"Accipiter nisus","Accipiter",NA,186.25,"anAge"
"Accipiter nisus","Accipiter",NA,220,"avian"
"Accipiter nisus","Accipiter",NA,220.8004733,"sibly"
"Accipiter novaehollandiae","Accipiter",NA,476.666666666667,"avian"
"Accipiter ovampensis","Accipiter",NA,200,"avian"
"Accipiter striatus","Accipiter",NA,135,"anAge"
"Accipiter striatus","Accipiter",NA,138.5,"avian"
"Accipiter striatus","Accipiter",NA,130.6170888,"sibly"
"Accipiter tachiro","Accipiter",NA,313.9,"avian"
"Acentrella","",2.9,0.00017979167,"lw.misc"
"Acerodon celebensis","Acerodon",201.25,384.84,"Pantheria"
"Acerodon humilis","Acerodon",NA,352.43,"Pantheria"
