"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
1,"Abramis ballerus","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
2,"Abramis bjoerkna","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
3,"Abramis brama","species","38527","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Abramis brama",NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
4,"Abramis sapa","genus","38526","Actinopteri",NA,"Cyprinidae","Abramis","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Craniata",NA,"Actinopterygii","Cyprinoidea","Eukaryota","Cypriniphysae",NA
5,"Abrothrix jelskii","species","241142","Mammalia",NA,"Cricetidae","Abrothrix",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Abrothrix jelskii",NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
6,"Acanthistius patachonicus","species","1053711","Actinopteri",NA,"Serranidae","Acanthistius","Teleostei",NA,"Metazoa","Perciformes",NA,"Chordata","Acanthistius patachonicus",NA,"Neopterygii","Anthiadinae",NA,NA,"Serranoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
7,"Acanthocyclops bicuspidatus","species","669468","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops bicuspidatus",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
8,"Acanthocyclops gigas","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
9,"Acanthocyclops languidoides","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
10,"Acanthocyclops nanus","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
11,"Acanthocyclops robustus","species","415614","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops robustus",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
12,"Acanthocyclops sp.","genus","245076","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
13,"Acanthocyclops vernalis","species","245077","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops vernalis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
14,"Acanthocyclops viridis","species","298422","Maxillopoda",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops viridis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
15,"Acanthodactylus pardalis","species","463643","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus pardalis",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
16,"Acanthodactylus schmidti","species","80464","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schmidti",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
17,"Acanthodactylus schreiberi","species","714888","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schreiberi",NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
18,"Acanthodiaptomus denticornis","species","595357","Maxillopoda",NA,"Diaptomidae","Acanthodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acanthodiaptomus denticornis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
19,"Acanthogobius flavimanus","species","86203","Actinopteri",NA,"Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius flavimanus",NA,"Neopterygii","Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
20,"Acanthogobius hasta","species","267130","Actinopteri",NA,"Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius hasta",NA,"Neopterygii","Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
21,"Acartia bifilosa","species","544687","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia bifilosa",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
22,"Acartia clausi","genus","121148","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
23,"Acartia discaudata","species","1201398","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia discaudata",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
24,"Acartia longiremis","species","121149","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia longiremis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
25,"Acartia sp.","genus","121148","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
26,"Acartia tonsa","species","136180","Maxillopoda",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia tonsa",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Gymnoplea",NA
27,"Accipiter badius","species","387787","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter badius",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
28,"Accipiter cooperii","species","261198","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter cooperii",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
29,"Accipiter gentilis","species","8957","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter gentilis",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
30,"Accipiter gularis","species","258530","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter gularis",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
31,"Accipiter nisus","species","211598","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter nisus",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
32,"Accipiter striatus","species","56330","Aves",NA,"Accipitridae","Accipiter",NA,NA,"Metazoa","Falconiformes",NA,"Chordata","Accipiter striatus",NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Neognathae",NA
34,"Achatina fulica","species","6530","Gastropoda",NA,"Achatinidae","Achatina",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Achatina fulica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achatinoidea","Eukaryota",NA,NA
35,"Acheta assimilis","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
36,"Acheta domestica","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
37,"Acheta domesticus","species","6997","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda","Acheta domesticus",NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
38,"Acheta pennsylvanicus","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera",NA,"Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota","Gryllinae",NA,NA,"Ensifera",NA,NA,"Hexapoda","Grylloidea","Eukaryota",NA,NA
39,"Achipteria spp.","genus","229768","Arachnida",NA,"Achipteriidae","Achipteria",NA,NA,"Metazoa","Oribatida",NA,"Arthropoda",NA,NA,"Acari",NA,NA,NA,"Brachypylina","Chelicerata",NA,NA,"Achipterioidea","Eukaryota","Acariformes",NA
40,"Acinonyx jubatus","species","32536","Mammalia",NA,"Felidae","Acinonyx",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Acinonyx jubatus",NA,NA,"Acinonychinae",NA,NA,"Feliformia","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
41,"Acipenser brevirostrum","species","7907","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser brevirostrum",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
42,"Acipenser gueldenstaedtii","species","7902","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser gueldenstaedtii",NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
43,"Acipenser guldenstadtii","genus","7901","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata",NA,NA,"Chondrostei","Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini"
