"Parasite.species","egg","free larva","Egg.hatch"
"Aonchotheca bovis",831.875,NA,"eaten"
"Ascaris suum",464.838825758441,NA,"eaten"
"Ascarops strongylina",NA,NA,"eaten"
"Chabertia ovina",21.6527777743333,NA,"hatch, grow, eaten"
"Cooperia curticei",35.2291666666667,106.395833333333,"hatch, grow, eaten"
"Cooperia fuelleborni",NA,136.5,"hatch, grow, eaten"
"Cooperia oncophora",15.8125,118.833333341,"hatch, grow, eaten"
"Cooperia pectinata",NA,NA,"hatch, grow, eaten"
"Cooperia punctata",14.999999994,71.9375,"hatch, grow, eaten"
"Cyathostomum catinatum",NA,NA,"hatch, grow, eaten"
"Cylicocyclus nassatus",NA,33.161,"hatch, grow, eaten"
"Cylicostephanus longibursatus",NA,NA,"hatch, grow, eaten"
"Cystocaulus ocreatus",NA,NA,"hatch, penetrate"
"Dictyocaulus arnfieldi",NA,NA,"hatch, grow, eaten"
"Dictyocaulus eckerti",NA,NA,"hatch, grow, eaten"
"Dictyocaulus filaria",NA,72.76875,"hatch, grow, eaten"
"Dictyocaulus viviparus",NA,NA,"hatch, grow, eaten"
"Elaphostrongylus alces",NA,NA,"hatch, penetrate"
"Elaphostrongylus cervi",NA,NA,"hatch, penetrate"
"Elaphostrongylus rangiferi",NA,NA,"hatch, penetrate"
"Gnathostoma doloresi",197.5,NA,"hatch, eaten"
"Gnathostoma hispidum",206.3,NA,"hatch, eaten"
"Gongylonema pulchrum",NA,NA,"eaten"
"Haemonchus contortus",24.1291666650625,61.9435185183889,"hatch, grow, eaten"
"Haemonchus placei",NA,NA,"hatch, grow, eaten"
"Hyostrongylus rubidus",29.25,96.75,"hatch, grow, eaten"
"Metastrongylus apri",NA,NA,"eaten"
"Metastrongylus pudendotectus",NA,NA,"eaten"
"Metastrongylus salmi",NA,NA,"eaten"
"Muellerius capillaris",NA,NA,"hatch, eaten"
"Nematodirus abnormalis",270.571428571429,NA,"hatch, eaten"
"Nematodirus battus",461.071428571429,NA,"hatch, eaten"
"Nematodirus filicollis",421.65,NA,"hatch, eaten"
"Nematodirus helvetianus",211.5,NA,"hatch, eaten"
"Nematodirus spathiger",292.23,NA,"hatch, eaten"
"Neostrongylus linearis",NA,NA,"hatch, penetrate"
"Oesophagostomum asperum",NA,NA,"hatch, grow, eaten"
"Oesophagostomum columbianum",23.1597222215,96.9513888885,"hatch, grow, eaten"
"Oesophagostomum dentatum",17.249999994,84.3,"hatch, grow, eaten"
"Oesophagostomum kansuensis",NA,NA,"hatch, grow, eaten"
"Oesophagostomum quadrispinulatum",NA,NA,"hatch, grow, eaten"
"Oesophagostomum radiatum",NA,NA,"hatch, grow, eaten"
"Oesophagostomum venulosum",NA,NA,"hatch, grow, eaten"
"Ostertagia ostertagi",17.8125,96.7708333333333,"hatch, grow, eaten"
"Oxyuris equi",NA,NA,"eaten"
"Parascaris equorum",250,NA,"eaten"
"Parelaphostrongylus andersoni",NA,NA,"hatch, penetrate"
"Parelaphostrongylus odocoilei",NA,NA,"hatch, penetrate"
"Parelaphostrongylus tenuis",NA,NA,"hatch, penetrate"
"Physocephalus dromedarii",NA,NA,"eaten"
"Physocephalus sexalatus",NA,NA,"eaten"
"Pneumostrongylus calcaratus",NA,NA,"hatch, penetrate"
"Protostrongylus davtiani",NA,NA,"hatch, penetrate"
"Protostrongylus hobmaieri",NA,NA,"hatch, penetrate"
"Protostrongylus rufescens",NA,NA,"hatch, eaten"
"Protostrongylus skrjabini",NA,NA,"hatch, penetrate"
"Protostrongylus stilesi/rushi",NA,NA,"hatch, penetrate"
"Simondsia paradoxa",NA,NA,"eaten"
"Skrjabinema ovis",NA,NA,"eaten"
"Spirocerca lupi",NA,NA,"eaten"
"Stephanurus dentatus",25.2656249985,83.8255208300625,"hatch, grow, eaten"
"Strongylus edentatus",21.2783333333333,42.7766666666667,"hatch, grow, eaten"
"Strongylus equinus",21.806,45.264,"hatch, grow, eaten"
"Strongylus vulgaris",21.6983333333333,66.045,"hatch, grow, eaten"
"Teladorsagia circumcincta",NA,NA,"hatch, grow, eaten"
"Toxocara vitulorum",850,NA,"eaten"
"Trichostrongylus axei",NA,NA,"hatch, grow, eaten"
"Trichostrongylus colubriformis",11.4791666715,36.25,"hatch, grow, eaten"
"Trichostrongylus rugatus",NA,NA,"hatch, grow, eaten"
"Trichostrongylus skrjabini",33.25,76,"hatch, grow, eaten"
"Trichostrongylus vitrinus",NA,NA,"hatch, grow, eaten"
"Trichuris discolor",NA,NA,"eaten"
"Trichuris ovis",488.4,NA,"eaten"
"Trichuris skrjabini",1037.5,NA,"eaten"
"Trichuris suis",749.888888888889,NA,"eaten"
"Triodontophorus tenuicollis",35.000000007,84,"hatch, grow, eaten"
"Umingmakstrongylus pallikuukensis",NA,NA,"hatch, penetrate"
"Varestrongylus alpenae",NA,NA,"hatch, penetrate"
"Varestrongylus capreoli",NA,NA,"hatch, penetrate"
"Varestrongylus eleguneniensis",NA,NA,"hatch, penetrate"
"Varestrongylus pneumonicus",NA,NA,"hatch, penetrate"
"Varestrongylus sagittatus",NA,NA,"hatch, penetrate"
